Product Name,Price
AYCE iMeiMe 舒緩美胸敷膜(六片裝) 即期品,NT$199 NT$590
AYCE iGulu 茉莉極致水嫩瑪卡高潮液（激熱配方）,NT$930
AYCE G-Trainer 六階式緊實聰明球,"NT$1,590"
AYCE G-Love 2 潮吹鬥士潮浪棒,"NT$1,590"
AYCE G-Suck 吸吮振動按摩棒,"NT$1,390"
AYCE G-Rider 遙控穿戴拍拍衝刺棒,"NT$1,690"
AYCE G-Punch Rabbit 震動衝刺棒,"NT$1,690"
AYCE G-Punch 拍拍衝刺棒,"NT$1,690"
按摩棒充電線,NT$80
AYCE 猛男金屬入珠環,NT$490
AYCE 情趣紋身貼紙,NT$149
AYCE G-Armor 金粗套,NT$490
AYCE iMeiMei 私密處粉嫩面膜,NT$590
AYCE iGulu 玻尿酸水嫩潤滑液（即期品）,NT$150 NT$450
AYCE ICE 冰晶玻璃按摩棒,NT$790
AYCE G-Love Beads 潮浪棒 粉紅版,"NT$1,590"
AYCE G-Love 喵喵變頻按摩棒,NT$790
