Product Name,Price
Dr.情趣｜TASLA 特濕拉｜智能脈衝三點高潮｜電動按摩棒,"NT$1,220 NT$1,640"
Dr.情趣 ｜TASLA 特濕拉 Model Sucks｜吮吸拍打伸縮三合一｜電動按摩棒,"NT$1,820 NT$1,900"
OCTOPI小章魚｜唯一官方正貨保固三個月｜吸吮器｜陰蒂乳頭兩用,"NT$990 NT$1,490"
Goldtoy｜雙頭蛇｜吸吮＋震動 Ｃ型穿戴按摩棒｜Dcard爆紅款,"NT$1,120 NT$1,580"
RIBBON里德伯恩｜任意彎曲C型震動遙控按摩器,"NT$1,420 NT$1,980"
蕉男友｜10頻震動＋加溫｜電動按摩棒,"NT$699 ~ NT$1,190 NT$1,290"
小怪獸1X 青春版｜智能APP跳蛋按摩器系列,"NT$1,090 NT$1,150"
高潮震動AV棒｜電動按摩棒,NT$570 ~ NT$700 NT$950
TENGA iroha stick｜口紅造型 隨身攜帶｜電動按摩棒,NT$450
爆筋吸盤仿真陽具｜安全矽膠SML三種尺寸,NT$690 NT$870
對子哈特｜性徒會長 處女小穴版｜神秘雙層龜頭舔吸結構｜飛機杯自慰器,"NT$1,330 ~ NT$2,999 NT$3,870"
AutoBlow｜奧創未來 Ultra AI｜智慧擬態飛機杯,"NT$1,090 ~ NT$6,200 NT$8,299"
對子哈特｜性徒會長 處女口交版｜極品深淺雙喉嚨口爆體驗｜飛機杯自慰器,"NT$1,330 ~ NT$2,010 NT$2,540"
Dr.情趣｜特朗砲 電動飛機杯「實測史上最強高壓推進力！」｜超猛爆龜頭重點螺旋抽插！你敢挑戰？,"NT$390 ~ NT$1,890 NT$2,300"
對子哈特｜R-20四代｜經典再現 R-20系列飛機杯,"NT$1,000 ~ NT$1,680 NT$2,210"
深喉嚨舔吸杯｜10種震動＋5種狂吸｜可擠壓舌舔夾吸飛機杯｜電動飛機杯,"NT$2,300 NT$2,875"
TENGA SPINNER new｜全新自體迴轉旋吸飛機杯,"NT$600 ~ NT$2,300 NT$2,430"
北斗星、南極星｜智能觸控 自動抽插吮震動加溫飛機杯｜電動飛機杯,"NT$480 ~ NT$1,690 NT$2,260"
EXE｜JAPANESE REAL HOLE 激 河北彩花｜飛機杯,"NT$1,120 NT$1,630"
Dr.情趣｜GOLDEN FINGER 指藤鷹｜手指跳蛋｜遙控按摩器,"NT$850 NT$1,100"
輕喃｜#2乳頭按摩器套組｜震動乳夾｜乳頭跳蛋,"NT$499 ~ NT$1,690"
SM綑綁束縛套裝｜手腳銬 眼罩 口球 皮散鞭 5合一組｜BDSM道具,"NT$1,170 NT$1,520"
WINYI｜終極小松鼠｜遙控跳蛋,"NT$1,290 NT$2,190"
澀井Drywell｜男用遲延噴劑30ml｜男性私密處保養,NT$599
摳指套｜刺激手指水晶套｜指交必備,NT$48 NT$99
深夜營養師｜藍色小丸子｜黃金強硬配方「透納葉＋南非醉茄＋精胺酸」｜男性保健食品,"NT$790 ~ NT$2,280 NT$3,740"
男魂－火｜活力濕巾｜爆筋久戰專用｜男用活力保養濕巾｜男性私密處保養,NT$380 NT$500
Dr.情趣｜氧氣呵護潤滑液｜台灣製溫和保濕升級,NT$180 ~ NT$450 NT$559
對子哈特｜R-20御用 妹汁潤滑液 370ml｜飛機杯專用潤滑油｜日本原裝進口,"NT$860 ~ NT$1,999 NT$3,120"
Dr.情趣｜高級水性潤滑液｜台灣製溫和滋潤,NT$150 ~ NT$390 NT$499
intt｜跳跳糖感高潮液 Vibration 17ml｜增強版｜口交液,NT$880
對子哈特｜Lotion 高中低黏度潤滑液 300ml｜日本原裝進口天然無色,"NT$310 ~ NT$899 NT$1,104"
HARU｜大麻熱浪迷情潤滑液155ml｜ORGASM,NT$650 NT$820
新歡水溶性潤滑液｜超潤滑｜台灣製 可舔食,NT$89 ~ NT$199 NT$249
杜蕾斯｜KY潤滑液,NT$49 ~ NT$180
TENGA PLAY GEL 共趣潤滑液｜3種不同特性潤滑液160ml,NT$220
相模Sagami｜水性潤滑液60ml,NT$318
【性徒會長三穴齊開】性徒會長口交版＋處女版＋後庭版,"NT$2,999 ~ NT$3,798 NT$5,670"
【玩具清潔保養組】Dr.情趣玩具清潔抗菌慕斯＋玩具保養抗菌噴霧,NT$900 NT$970
【內震外吸萌寵組組】鹿頂記溫馨綠＋小章魚吸吮器,"NT$1,550 NT$1,760"
【熱麻摳摳組】指藤鷹手指跳蛋＋Haru大麻潤滑液,"NT$1,350 NT$1,500"
【飛機杯清潔保養組】Dr.情趣吸濕棒＋保養噴霧＋清潔慕斯,"NT$1,152 NT$1,720"
【岡本浪漫繽紛組】輕薄貼身型＋潮感潤滑型＋混合潤薄型＋蝶之薄型,NT$349 NT$370
【無盡高潮組】OCTOPI小章魚吸吮器＋TASLA特濕拉按摩棒＋HARU鎖水磁石極潤潤滑液,"NT$2,500 NT$2,860"
【丸龜職人套組】武士金＋尊爵藍＋御石紅＋鎧甲灰,"NT$890 NT$1,280"
【R-20四代同堂】1代＋2代＋3代＋4代｜史上最經典的榨精神器,"NT$850 ~ NT$3,720 NT$4,920"
【女女潮愛組】Balance雙人共震褲(M)＋指藤鷹手指跳蛋，送Dr.情趣潤滑液150ml,"NT$3,800 NT$4,220"
【岡本薄潤組】City Love 透薄型＋極潤型,NT$349 NT$366
【硬漢持久組】PJ1 男士勁能延時液Plus＋深夜營養師（藍）,"NT$2,250 NT$2,480"
【師生吸精組】家教老師＋性徒會長口交版,"NT$1,850 ~ NT$2,200 NT$2,450"
【可愛吸吮組】蕉男友加溫版＋小飛豬,"NT$1,950 NT$2,180"
【王者之杯組】R-20四代＋性徒會長處女小穴版＋Lotion高黏度水性潤滑液,"NT$2,280 ~ NT$2,300 NT$2,640"
【男性私密清潔旅行組】PLAY&amp;amp;JOY 男性清潔乳＋男性養護液,NT$450 NT$520
【英勇不敗組】金英挺+大麻熱浪迷情潤滑液orgasm,"NT$1,850 NT$2,050"
HARU｜DESIRE｜大麻玫瑰激潮露30ml｜伴侶情趣用品,NT$899
HARU｜大麻情慾香氛熱感潤滑液155ml｜ORGASM by Jack Herer,NT$700 NT$875
HARU｜INDULGE｜大麻煙醯胺熱感煥白水溶性潤滑液155ml,NT$700 NT$875
Orgie｜大麻籽油刺激凝膠15ml｜可口交｜Hemp! Intesnse Orgasm｜熱感高潮液,NT$879
intt｜Vibration 跳跳糖感高潮液15ml｜大麻籽口味,NT$980
心機萌僕鏤空紗感制服三件套装｜情趣內衣,NT$339 NT$425
夜未央復古旗袍開衩連身裙｜情趣內衣,NT$399 NT$498
雙弧曲境性感雙弧鏤空連身裝｜情趣內衣,NT$249 NT$320
秘密花園緞面蕾絲拼接睡裙｜情趣內衣,NT$480 NT$599
法式情懷蕾絲吊帶睡裙｜情趣內衣,NT$399 NT$498
愛貓誘惑開檔連身衣｜情趣內衣,NT$359 NT$450
復古側綁帶旗袍連身短裙｜情趣內衣,NT$399 NT$498
優雅透視開衩連衣裙｜情趣內衣,NT$359 NT$450
一字肩鏤空連衣裙｜情趣內衣,NT$279 NT$399
性感深V純慾睡裙｜情趣內衣,NT$335 NT$449
後宮風情肚兜丁字誘惑套裝｜情趣內衣,NT$299 NT$375
