Product Name,Price
持久派對爽 🎉雙人同頻共震 震動屌環 鎖精環,NT$499
MENCCINO【紳士風範】60支螺紋莫代爾四角內褲 完美包覆囊袋設計-米白(40025233),NT$229
MENCCINO【紳士風範】60支螺紋莫代爾四角內褲 完美包覆囊袋設計-碳黑(40025233),NT$229
MENCCINO【紳士風範】60支螺紋莫代爾四角內褲 完美包覆囊袋設計-摩卡棕(40025233),NT$229
GTOPX MAN【居家舒適】零重力・夏日解脫居家褲 超透氣-黑色 (GT601),NT$239
GTOPX MAN【居家舒適】零重力・夏日解脫居家褲 超透氣-灰色 (GT601),NT$239
GTOPX MAN【破浪美學】馭水流線・極速乾爽雙層三角泳褲 低腰設計-黑色 (YK01),NT$359
GTOPX MAN 【致命誘惑】禁忌視角・極致透膚性感三角褲 超透氣 低腰囊袋設計-白色 (GT307),NT$199
GTOPX MAN 【致命誘惑】禁忌視角・極致透膚性感三角褲 超透氣 低腰囊袋設計-黑色 (GT307),NT$199
GTOPX MAN 【零重力】極凍冰感・呼吸網眼三角褲 超透氣 低腰囊袋設計-白色 (GT469),NT$199
GTOPX MAN 【零重力】極凍冰感・呼吸網眼三角褲 超透氣 低腰囊袋設計-黑色 (GT469),NT$199
PLAY &amp; JOY POWERMAN 古龍激熱增強液,"NT$1,380"
日本 Kalma Beat 卡瑪節拍｜極致震動前列腺按摩器-PRIMK-088,NT$759
日本進口✈️飛機杯完美體驗雙效套裝（USB溫感加熱棒＋珪藻土速乾吸水架）-WDKG-737,NT$559
日本PxPxP 猛男過載 超! 激鎖精自慰環 -UPPP-192,NT$499
後庭激震！10頻前列腺激爽震動按摩器「日本直送」-TBSP-151,NT$759
臉紅心跳❤️情趣互動塑膠針筒潤滑液注射器 後庭清洗器 100ml 日本進口 -TBSP-222,NT$359
日本 360&#176;FETISH 潮 SPLASH 💦噴炸龜頭軟型自慰套-WDKG-933,NT$259
日本 PxPxP 高質感指勾後庭按摩棒-PPPP-041,NT$369
日本 Solvemen《專為敏感人士設計》柔滑平衡快感器自慰套 自慰器-BGFT-025,NT$799
「炮丸」鐵球。深度共鳴重力後庭塞 -(PREM-094/PREM-093/PREM-095),NT$459
