Product Name,Price
iroha paiRING+ 配悅環 加強版 莓果紫 + SMOOTH GEL 滑潤凝露套裝,"NT$2,400 NT$2,750 8.7折"
iroha paiRING+ 配悅環 加強版 莓果紫 + MOIST GEL 水潤凝露套組,"NT$2,400 NT$2,750 8.7折"
iroha paiRING+ 配悅環 加強版 珊瑚粉+SMOOTH GEL 滑潤凝露套裝,"NT$2,400 NT$2,750 8.7折"
iroha paiRING+ 配悅環 加強版 珊瑚粉 + MOIST GEL 水潤凝露套組,"NT$2,400 NT$2,750 8.7折"
iroha paiRING 配悅環 莓果紫 + SMOOTH GEL 滑潤凝露套裝,"NT$1,800 NT$2,150 8.4折"
iroha paiRING 配悅環 珊瑚粉 + SMOOTH GEL 滑潤凝露套裝,"NT$1,800 NT$2,150 8.4折"
iroha paiRING 配悅環 莓果紫 + MOIST GEL 水潤凝露套組,"NT$1,800 NT$2,150 8.4折"
iroha paiRING 配悅環 珊瑚粉 + MOIST GEL 水潤凝露套組,"NT$1,800 NT$2,150 8.4折"
iroha paiRING+ 配悅環 加強版 莓果紫,"NT$2,400"
iroha paiRING+ 配悅環 加強版 珊瑚粉,"NT$2,400"
iroha paiRING 配悅環 莓果紫,"NT$1,800"
iroha paiRING 配悅環 珊瑚粉,"NT$1,800"
FIT+ 潮汐 [AONAMI/青波]＋MOIST GEL 水潤凝露 套裝,"NT$4,365 NT$4,850 9折"
FIT+ 潮汐 [AONAMI/青波]＋SMOOTH GEL 滑潤凝露 套裝,"NT$4,365 NT$4,850 9折"
FIT 曬月光 [MINAMOZUKI/水映月] 撫子花色＋MOIST GEL 水潤凝露 套裝,"NT$3,752 NT$3,950 9.5折"
FIT 曬月光 [MINAMOZUKI/水映月] 撫子花色＋SMOOTH GEL 滑潤凝露 套裝,"NT$3,752 NT$3,950 9.5折"
FIT 曬月光 [MIKAZUKI/心弦月] 撫子花色＋MOIST GEL 水潤凝露 套裝,"NT$3,752 NT$3,950 9.5折"
FIT 曬月光 [MIKAZUKI/心弦月] 撫子花色＋SMOOTH GEL 滑潤凝露 套裝,"NT$3,752 NT$3,950 9.5折"
FIT 曬月光 [MINAMOZUKI/水映月]＋MOIST GEL 水潤凝露 套裝,"NT$3,752 NT$3,950 9.5折"
FIT 曬月光 [MINAMOZUKI/水映月]＋SMOOTH GEL 滑潤凝露 套裝,"NT$3,752 NT$3,950 9.5折"
FIT 曬月光 [MIKAZUKI/心弦月]＋MOIST GEL 水潤凝露 套裝,"NT$3,752 NT$3,950 9.5折"
FIT 曬月光 [MIKAZUKI/心弦月]＋SMOOTH GEL 滑潤凝露 套裝,"NT$3,752 NT$3,950 9.5折"
iroha FIT+ 潮汐 [AONAMI/青波],"NT$4,500"
iroha koharu 春之蓓蕾 [SUIREN/紫蓮],NT$750
iroha FIT 曬月光 [MINAMOZUKI/水映月] 撫子花色,"NT$3,600"
iroha FIT 曬月光 [MIKAZUKI/心弦月] 撫子花色,"NT$3,600"
iroha FIT 曬月光 [MINAMOZUKI/水映月],"NT$3,600"
iroha FIT 曬月光 [MIKAZUKI/心弦月],"NT$3,600"
極致享受 iroha mai 水舞樂 [TSURU/雪鶴白] 聲波振動的3件套裝,"NT$4,370 NT$4,600 9.5折"
iroha mai 水舞樂 [TSURU/雪鶴白]＋iroha SMOOTH GEL 滑潤凝露 套裝,"NT$4,123 NT$4,340 9.5折"
極致享受 iroha mai 水舞樂 [TOKI/朱鷺紅] 聲波振動的3件套裝,"NT$4,370 NT$4,600 9.5折"
