Product Name,Price
GIGI™ 2,"NT$3,880"
IDA™,"NT$6,280"
CHARGER 9V,NT$680
CHARGER USB-CABLE,NT$669
MIA™ 2,"NT$3,180"
HEX™ Original,NT$949
INEZ™,"NT$645,000"
奢华香薰蜡烛,NT$869
YVA™,"NT$150,000"
OLGA™,"NT$120,699"
EARL™,"NT$89,699"
LIV™ 2,"NT$2,880"
SIRI™ 2,"NT$5,580"
MONA™ 2,"NT$4,890"
MONA Wave™,"NT$5,580"
ELISE™ 2,"NT$6,980"
LELO Beads™,"NT$2,069"
LELO Beads™ Noir,"NT$1,790"
TOR™ 2,"NT$4,580"
Personal Moisturizer,"NT$1,090"
SONA™,"NT$3,580"
SONA™ Cruise,"NT$3,580"
HEX™ Respect XL,NT$949
LELO Toy Cleaning Spray,NT$590
Flickering Touch Massage Candle,"NT$1,290"
LELO Smart Bead™,"NT$4,280"
SORAYA™ 2,"NT$7,980"
BILLY™ 2,"NT$5,280"
SONA™ 2 Cruise,"NT$5,280"
SONA™ 2,"NT$3,880"
ORA™ 3,"NT$6,280"
SMART WAND™ 2 Large,"NT$6,980"
SORAYA Wave™,"NT$8,980"
SILA™,"NT$5,880"
ENIGMA™,"NT$6,980"
F1S™ V2A,"NT$6,980"
INA™ 3,"NT$6,280"
INA Wave™ 2,"NT$6,980"
HULA Beads™,"NT$6,580"
SMART WAND™ 2 Medium,"NT$5,880"
LYLA™ 2,"NT$5,030"
LOKI™,"NT$6,280"
F1L™,NT$890
SILA™ Cruise,"NT$6,580"
HUGO™,"NT$6,580"
BRUNO™,"NT$5,280"
ENIGMA™ Cruise,"NT$7,980"
LELO x Diesel TOR™ 2,"NT$5,280"
LELO x Diesel SONA™ Cruise,"NT$4,280"
TIANI™ DUO,"NT$6,980"
TIANI™ Harmony,"NT$5,580"
IDA™ Wave,"NT$6,580"
LELO DOT™,"NT$6,280"
LOKI Wave™ 2,"NT$7,980"
LILY™ 3,"NT$3,580"
NEA™ 3,"NT$2,880"
TOR™ 3,"NT$5,580"
LELO DOT™ Cruise,"NT$6,980"
LELO™ 液体唇膏,"NT$1,369"
LELO™ 唇膏笔,"NT$1,369"
SONA™ 2 Travel,"NT$3,580"
MAZE Wide Choker and Leash,"NT$1,719"
MAZE Tassel Choker,"NT$1,369"
MAZE H Harness,"NT$2,419"
MAZE Hand Bracelet Harness,"NT$1,369"
MAZE Wide Cuffs,"NT$1,719"
MAZE Tassel Flogger,"NT$1,369"
Anal Play Gel,"NT$1,019"
Finger Play Gel,NT$669
Oral Sex Balm,"NT$1,019"
Nipple Play Gel,NT$669
Clitoral Balm,"NT$1,019"
Full Body Massage,NT$939
Warming Massage Oil,NT$979
Mouthwatering Spray,NT$669
Bad Day Killer - Clitherapy Balm,NT$699
Sexting Balm - Clitherapy Balm,NT$589
Orgasm Glow,"NT$1,719"
Clitoral Arousal Serum,"NT$1,289"
欢愉增强精华液,"NT$1,090"
ENIGMA Wave™,"NT$9,780"
SORAYA Beads™,"NT$7,980"
HUGO™ 2 Remote,"NT$7,680"
HUGO™ 2,"NT$6,580"
SIRI™ 3,"NT$5,580"
F1S™ V3,"NT$8,720"
LELO DOT™ Travel,"NT$3,469"
MIA™ 3,"NT$3,469"
ENIGMA™ Double Sonic,"NT$12,200"
GIGI™ 3,"NT$5,280"
LIV™ 3,"NT$3,580"
Bubblegum Warming Massage Oil,"NT$1,019"
Bubblegum Play Kit,"NT$2,880"
Bubblegum Massage and Intimate Gel,"NT$1,369"
Bubblegum Body Mist,"NT$1,669"
SONA™ 3,"NT$5,580"
SONA™ 3 Cruise,"NT$6,280"
F2S™,"NT$7,380"
Sex Au Naturel,NT$779
LELO SWITCH™,"NT$7,380"
LELO Scarf,NT$909
LELO 情趣靠枕,"NT$1,820"
LELO SURFER™ 2,"NT$4,280"
LELO BOOMERANG™,"NT$7,980"
TIANI™ Twist,"NT$4,280"
INA™ Thrust,"NT$8,370"
TIANI™ 3,"NT$5,880"
NOA™,"NT$3,580"
LILY™ 2,"NT$2,880"
LOKI Wave™,"NT$6,580"
TIANI™ 24k,"NT$13,899"
