Product Name,Price
【PJ-420世界夢幻大麻系列】SATIVA 極熱狂潮太麻潤滑液,NT$605 ~ NT$715
【PJ-420世界夢幻大麻系列 】MYSTIC 神秘冰川涼感潤滑液,NT$515 ~ NT$630
【PJ-420世界夢幻大麻系列】LUMINARA 極光精華閃耀潤滑液,NT$515 ~ NT$630
【冰火高潮雙享組】極熱狂潮太麻潤滑液155ml + 神秘冰川潤滑液100ml,"NT$1,100 NT$1,609"
【全新配方】PJ1 Plus 男性延時液,"NT$1,980"
【煥新上市】POWERMAN 古龍激熱增強液,"NT$1,380"
POWERMAN 男性養護液,"NT$1,950"
POWERMAN 男性瑪卡清潔乳,NT$950
POWERMAN 瑪卡活力膠囊,"NT$1,250"
POWERMAN 男性清養旅行組,NT$520
樂趣衛生套 - 超薄003,NT$170
基本款衛生指手套（5入/25入）,NT$89 ~ NT$249 NT$100
玻尿酸衛生指手套（5入/25入）,NT$99 ~ NT$299 NT$110
【熱銷】ARTMIS 葳兒柔私密賦活凝膠,"NT$1,490"
ARTMIS 玫瑰緊萃青春露,"NT$2,200"
MAX+熱感潤滑液,NT$850 NT$960
MAX+絲滑潤滑液,NT$550 NT$650
MAX+水潤潤滑液,NT$550 NT$650
口交潤滑液-威士忌風味,NT$530
口交潤滑液-水蜜桃雞尾酒風味,NT$530
【新款】熱感基本型潤滑液,NT$290 ~ NT$490 NT$320
【新款】水潤基本型潤滑液,NT$240 ~ NT$380 NT$270
【新款】絲滑基本型潤滑液,NT$240 ~ NT$380 NT$270
【新款】抑菌基本型潤滑液,NT$290 ~ NT$490 NT$320
【新款】冰激基本型潤滑液,NT$290 ~ NT$480 NT$320
Air矽性潤滑液,"NT$700 ~ NT$1,200 NT$760"
隱形潤滑液膠囊-玫瑰味,NT$750 NT$890
子彈膠囊潤滑液,NT$800
口交潤滑液隨身盒-草莓風味,NT$260 NT$315
口交潤滑液隨身盒-水蜜桃風味,NT$260 NT$315
瑪卡熱感隨身盒,NT$120
絲滑隨身盒,NT$80
口交潤滑液隨身包-水蜜桃風味,NT$55
口交潤滑液隨身包-草莓風味,NT$55
【全新發售】ARTMIS 私密清潔慕斯 （蔓越莓/金縷梅）,NT$480
Artmis 三合一乾爽私密處防護噴粉,NT$450 NT$550
ARTMIS 植靈油滾珠瓶,NT$370 ~ NT$650
Artmis 低溫暖宮精油蠟燭,NT$620 NT$660
【知己】震動海豚吸吮器,"NT$1,880 NT$1,980"
【PINK PUNCH】小蘑菇震動遙控按摩器,"NT$1,780 NT$2,280"
【JOYCOME】愉悅按摩槍,"NT$1,150 NT$1,200"
艾悠｜IU 名器艾悠杯,"NT$1,180 NT$1,290"
溫芮欣｜佳佳貓 名器寶溫杯,"NT$1,180 NT$1,290"
蘇暢｜名器暢快杯,"NT$1,180 NT$1,290"
BIU BIU天竺鼠震動按摩鎖精環,NT$750 NT$799
【 Zodiac Series 】摩羯座按摩器 Capricorn Massager,"NT$1,190"
【 Zodiac Series 】水瓶座按摩器 Aquarius Massager,"NT$1,190"
【 Zodiac Series 】雙魚座按摩器 Pisces Massager,"NT$1,190"
【 Zodiac Series 】金牛座按摩器 Taurus Massager,"NT$1,190"
【 Zodiac Series 】雙子座按摩器 Gemini Massager,"NT$1,190"
【 Zodiac Series 】巨蟹座按摩器 Cancer Massager,"NT$1,190"
【 Zodiac Series 】獅子座按摩器 Leo Massager,"NT$1,190"
【 Zodiac Series 】天秤座按摩器 Libra Massager,"NT$1,190"
【 Zodiac Series 】天蠍座按摩器 Scorpio Massager,"NT$1,190"
【 Zodiac Series 】射手座按摩器 Sagittarius Massager,"NT$1,190"
PJ1 Plus 男性延時液 + 古龍激熱增強液 + 清養旅行組,"NT$3,530 NT$3,880"
葳兒柔私密賦活凝膠 + 玫瑰緊萃青春露 + 玫瑰緊萃體驗包*2 + 葳兒柔體驗組*2,"NT$3,470 NT$4,150"
極熱狂潮太麻潤滑液 + 水蜜桃雞尾酒口交液 + 大麻冰火潤滑液體驗組 + 草莓口交液隨身盒,"NT$1,355 NT$1,605"
PJ1 Plus 男性延時液 + ARTMIS 植靈油滾珠瓶+ 清養旅行組,"NT$2,800 NT$3,130"
PJ1 Plus 男性延時液 + 古龍激熱增強液,"NT$2,860 NT$3,130"
ARTMIS 玫瑰緊萃青春露 + 植靈油滾珠瓶 + 私密清潔慕斯 （蔓越莓/金縷梅）,"NT$2,830 NT$3,050"
葳兒柔私密賦活凝膠+ARTMIS 植靈油滾珠瓶+ARTMIS三合一乾爽私密處防護噴粉+ARTMIS 私密清潔慕斯 （蔓越莓/金縷梅）,"NT$2,690 NT$3,170"
【超值男人健壯組】POWERMAN男性私密養護液 + 男性瑪卡清潔乳,"NT$2,640 NT$2,950"
【深度契合組】PJ1 Plus 男性延時液 + 葳兒柔賦活凝膠,"NT$3,120 NT$3,770"
【持久能量組】PJ1 Plus 男性延時液 + 瑪卡活力膠囊,"NT$2,900 NT$3,230"
【水感空氣組】Air 100ml + 水潤50ml x2,"NT$1,080 NT$1,720"
【慾望升溫組】葳兒柔賦活凝膠 + 熱感100ml,"NT$1,730 NT$2,470"
【水火交響組】水潤潤滑液100ml + 熱感潤滑液100ml,NT$820 NT$990
水潤潤滑液100ml + 熱感潤滑液100ml + 絲滑隨身盒*2,"NT$968 NT$1,150"
【 現省210元!】抑菌基本型潤滑液100ml 三入組,"NT$1,410 NT$1,620"
順固 UC2+ 非變性二型膠原蛋白膠囊,"NT$2,689 ~ NT$15,800 NT$2,980"
【紳藍品格事務所】男性費洛蒙香水,"NT$1,980"
