Product Name,Price
歡慶聖誕快樂 - 玫瑰除毛刀組,"NT$1,299 NT$2,289"
小奶球 | 舒壓＋增感配件,NT$39 NT$49
聖誕不純了組 - 純愛杯雙杯合歡組合,"NT$2,099 NT$2,799"
呵護型玫瑰潤滑液（限時買一送一）(有效期2026.06.26),"NT$990 NT$1,290"
純淨呵護儀,"NT$3,980 NT$5,980"
純愛杯｜ LANPAR CUP 莖膜放鬆啞鈴 - 聯名設計款飛機杯,"NT$1,290"
純愛杯二代 | 飛機杯 - 白皇后＆黑魔女 White Queen ＆ Black Enchantress,"NT$1,190 ~ NT$2,380"
純愛杯｜班比杯,"NT$1,390"
小奶球 (三入) ｜舒壓＋增感配件,NT$99 NT$129
純淨除毛刀,NT$599
純真流派 田園浪漫後交叉碎花睡衣裙,NT$790
萬用型爽快潤滑液,NT$450 NT$580
絲滑型舒服潤滑液,NT$499 NT$600
純淨棒,NT$263 NT$299
純愛杯｜外送手搖杯,"NT$1,980"
夏日藍調 純慾網紗公主袖綁帶內衣套裝,NT$650
夢遊仙境 黑色薄紗刺繡綁帶內衣套裝,NT$790
溫柔鄉 清新系蕾絲貝殼邊法式內衣套裝,NT$650
無名愛人 性感蕾絲撞色肩帶內衣套裝,NT$790
迷失夏季 蝴蝶結蕾絲吊帶馬甲內衣套裝,NT$850
鴉片甜心 性感浪漫黑色緞面開衩蕾絲睡衣,NT$750
草莓布蕾 刺繡網紗吊帶襪連身衣套裝,NT$790
多巴胺信仰 純慾鏤空吊帶蕾絲連身衣,NT$850
晝夜晨昏 甜美清新花卉蕾絲緞面睡衣,NT$790
純愛杯 | 純精款、純淫款,"NT$910 ~ NT$1,820"
純愛杯｜冰山御姊 小純 - 頂級名器雙通道系列,"NT$1,080 ~ NT$1,180 NT$1,480"
純愛杯｜傲嬌蘿莉 Zumi - 頂級名器雙通道系列,"NT$1,080 ~ NT$1,180 NT$1,480"
純愛杯｜一粒杯 - ili杯,"NT$590 ~ NT$2,360"
純淨袋（10入裝）,NT$329 NT$390
Pure Bra｜純淨美胸隱形內衣,NT$824 NT$980
私密情趣手銬,NT$480 NT$580
櫻花香調香氛蠟燭,NT$299 NT$399
純愛不羞尺,NT$299 NT$380
體育股長,NT$680 NT$850
易撕情趣絲襪｜黑絲襪情趣用品｜撕裂設計絲襪,NT$199 NT$229
情陷學院,NT$680 NT$850
性感荷官,NT$830 NT$980
專屬女僕,NT$680 NT$850
午夜幻夢,NT$660 NT$780
純情悸動,NT$830 NT$980
純愛女生徒,NT$780 NT$980
做你的新娘,NT$680 NT$850
復古情韻,NT$720 NT$850
夢遊仙境的闖關者,NT$680 NT$850
優雅女伶,NT$780 NT$980
德國 Womanizer OG G點吸吮震動器 | 丁香紫,"NT$7,290"
德國 Womanizer Premium 2 吸吮愉悅器 | 藍,"NT$7,290 NT$8,290"
你的珍貴禮物,NT$780 NT$980
