Product Name,Price
DOUBLE露娜 雙震10頻刺激衝撞G點按摩棒,NT$350
ROSELEX 蜜吻舌舔 10頻數碼顯示拍震按摩器,NT$399
Anal plug 初級入門 六件後庭擴張肛門塞組,NT$199
ROSELEX 頂腺出液 10段變頻雙環鎖精前列腺後庭按摩器(APP遙控),NT$380
MR‧PLAY 鋼鐵之狼 12頻強力震動前列腺後庭按摩器(無線遙控),NT$980
赫茲少女 彎彎兔#808 智能吸吮+G點拍打棒,"NT$1,690"
瑞典LELO F1S™ V3 XL 智能電動飛機杯,"NT$8,720"
瑞典LELO F1S™ V3 智能電動飛機杯,"NT$8,720"
瑞典LELO F2S™ 智能電動飛機杯,"NT$7,380"
瑞典LELO SWITCH™ 智能APP雙頭AV棒,"NT$7,380"
瑞典LELO TIANI™ Harmony 雙人共震器,"NT$5,580"
葡萄牙Orgie XXXL 鬥牛士硬核能量膏套裝5ml (男用賦活修護+助挺勃起),NT$490
日本NPG 松本一香 愛液潤滑液 80ml,NT$115 NT$164
日本NPG 宮下玲奈 愛液潤滑液 80ml,NT$115 NT$164
日本NPG 美園和花 愛液潤滑液 80ml,NT$115 NT$164
日本NPG 春陽萌花 愛液潤滑液 80ml,NT$115 NT$164
日本MOTLAB 蘿莉迷你娃娃 古靈精怪小惡魔自慰器,NT$499
日本MOTLAB 蘿莉迷你娃娃 聽話專屬療癒女僕自慰器,NT$499
日本NPG AV女優迷你非貫通自慰名器 宮下玲奈,NT$320
日本NPG AV女優迷你非貫通自慰名器 美園和花,NT$320
日本NPG AV女優迷你非貫通自慰名器 春陽萌花,NT$320
日本NPG 名器創生2 田中檸檬 二層潮紅自慰器,"NT$3,190"
日本NPG JULIA 極上生乳 神乳雙峰三層結構 胸穴自慰器 3kg,"NT$3,890"
日本NPG 森日向子 極上生腰 雙穴蜜桃尻自慰名器 2kg,"NT$3,450"
Eagle鷹雕 特大號雙層液態矽膠吸盤式逼真陽具,NT$790
日本Fuji-word 男の魂上昇弧度吸盤仿真陽具,NT$625 ~ NT$840
DEAR麥克 10X10伸縮震動恆溫逼真陽具按摩棒(無線遙控),"NT$3,190"
EROCOME 長蛇座 3速蛇型蠕動+10頻舌攪撩震按摩棒,"NT$3,190"
EROCOME 海豚座 8頻雙馬達立體震感穿戴按摩器(APP遙控),"NT$1,260"
EROCOME 海馬座 9頻雙點擊震穿戴強震穿戴按摩器(APP遙控),"NT$1,499"
Mytoys 舔舔貓 7頻G點摳震+C點狂舔內外爽潮按摩器,"NT$1,950"
ROSELEX 頂震吸潮 10頻內外刺激吮吸震動隱形穿戴按摩器(APP遙控),NT$550
瑞典LELO GIGI™ 2 G點按摩棒,"NT$3,880"
瑞典LELO Beads™ Noir 黑珍珠聰明球,"NT$1,790"
瑞典LELO Beads™ 露娜聰明球,"NT$2,580 ~ NT$3,180"
瑞典LELO Flickering Touch Massage Candl 香氛精油按摩蠟燭,"NT$1,290"
Hgod 007-II 旗艦版 9頻收縮吸吮X9頻舌舔 AI新智能電動飛機杯,"NT$1,999"
Hgod 007-II 4頻收縮吸吮X9頻舌舔 AI新智能電動飛機杯,"NT$1,699"
Hgod 靈控杯 4IN1真空6頻吸吮陰莖助勃鍛鍊器,"NT$1,390"
Hgod 動感杯 3頻收縮吸吮X7頻震動電動飛機杯,"NT$1,450"
ROSELEX 想入菲菲 10頻酥麻震動自慰免提飛機杯,NT$530
派蒂菈 賈迪爾 連環觸擊10段變頻親膚矽膠前後庭塞,NT$340
派蒂菈 鐵公雞 10段變頻強震雙蛋睪丸酥爽按摩器,NT$699
派蒂菈 古德溫 10段強震撩震外陰鎖精雙蛋套環,NT$540
派蒂菈 羅絲琳 7頻迴旋轉超快感乳首按摩器,NT$699
派蒂菈 海澤琳 12頻強震隱形貼合穿戴按摩器(APP遙控),NT$660
派蒂菈 奧貝利亞 10頻巧舌红唇360°狂擺+10頻震動按摩器,NT$680
派蒂菈 阿瑞拉 7頻吸吮排氣+7頻震動刺激蜜嘴按摩器,NT$999
派蒂菈 仙女座7頻四向急速滾鼓動+7頻震動 L型隱形穿戴按摩器,NT$980
Mytoys 覓趣三代 (APP遙控) 雙馬達吸吮+摳動式跳蛋 三管齊下內外爽潮按摩器,"NT$1,950"
Mytoys 覓趣 (APP遙控) 7x10段雙馬達吸吮+震動跳蛋 內吸外震雙重高潮按摩器,"NT$1,699"
瑞典LELO Personal Moisturizer 水性保濕潤滑液,"NT$790 ~ NT$1,090"
瑞典LELO TOR™ 2 陰莖震動環,"NT$3,580"
瑞典LELO SURFER™ Originals 智能App後庭按摩棒,"NT$1,790"
瑞典LELO MOKA™ Originals 智能App G 點按摩棒,"NT$2,190"
瑞典LELO KAYA™ Originals 智能App GC點兔耳按摩棒,"NT$2,190"
瑞典LELO LOKI Wave™ 2 前列腺兔耳按摩棒,"NT$7,980"
瑞典LELO AKO™ Originals 智能App操控陰部按摩棒,"NT$1,490"
瑞典LELO SONA™3 Cruise 智能App聲波吸吮按摩器,"NT$6,280"
瑞典LELO ENIGMA Wave™ 聲波吸吮+G點按摩器,"NT$9,780"
SISTALK小怪獸|蜜電 Monster Zing,"NT$1,790"
ADVA 慾望之水 30ml,"NT$690 NT$1,380"
JMP&amp;amp;天下布魔男用健康訓練器,"NT$1,190"
德國 Womanizer Next Duo 3D極致震動吸吮愉悅器,"NT$7,990"
BAILE 女女共享雙頭同樂逼真陽具+穿戴褲(可拆卸穿戴褲),NT$750
日本NPG AV ONA CUP 女優自慰杯 浜崎真緒,NT$258 NT$285
SISTALK小怪獸 白夜魔抑菌Monster Dou《Pro2青春版》惡魔先生,"NT$2,241 NT$2,490"
SISTALK小怪獸 白夜魔抑菌Monster Wiwi魚擺擺,"NT$1,161 NT$1,290"
JMP日本動漫盲盒,NT$850
荷葉花邊臀縫開衩設計美臀低腰褲,NT$158
心型蕾絲花邊矽膠流蘇胸貼,NT$89
十字蕾絲網紗一次性胸貼,NT$69
歐美系假髮 中分瀏海大長捲髮,NT$298
俏皮小兔 蕾絲羽毛兔耳髮箍,NT$168
JIUAI 波霸矽膠義乳 (B/C/D/E cup),"NT$1,399 ~ NT$1,850"
Howey 玻尿酸石墨烯 烯黑導熱型指險套 (24入),NT$399
Howey 蘆薈顆粒型指險套 (24入),NT$399
ROMP Pulse 吸吮震動按摩棒,"NT$2,590"
ROMP Luster 愛心後庭塞 3入組,"NT$1,490"
ROMP Presto 多功按摩棒,"NT$2,190"
Drywell 涉い井 蝸牛電子智能噴霧器+延時彈8ml,"NT$399 ~ NT$1,190"
Orgie Lube Tube Vibe 酥麻跳動快感液 100ml (性感沙灘/椰林飄香),NT$590
Orgie 酥麻跳動口愛快感增強液 15ml (草莓琴湯尼/檸檬琴湯尼),NT$880
Intt LIKE A VIRGIN 女性私處緊致養護凝膠 15ml,NT$850
Passing Kiss 自然派純淨系 高濃度水溶性潤滑液 200ml,NT$135
日本PEPEE Exciting 男性強逞水溶性潤滑液 200ml,NT$290
日本NPG 真實聽覺刺激 手淫自慰凝膠 110ml,NT$380
Adva perfume 慾香蠟燭 擁愛,NT$550
【贈潤滑液】赫茲少女 日初#101 瞬吸環 (黃小吸),"NT$1,490"
Magic Box 魔術盒 撩舔蜜豆入體震陰雙跳蛋,NT$430
貓咪鏤空透視圍裙開襠女僕角色扮演四件式套裝,NT$359
敞開式露胸金屬釦空姐角色扮演五件式套裝,NT$389
絲絨拼接蕾絲開襠仿旗袍連身衣兩件組,NT$389
牽胸連頸環荷葉邊女僕角色扮演五件式套裝,NT$389
唐風印花開衩裙飄逸舞袖三件組 大尺碼情趣睡衣,NT$398
透紗拼接襯衫百摺短裙學生角色扮演四件式套裝,NT$389
狂野豹紋三角美胸拼接花型五件式套裝,NT$398
盤釦立領拼接刺繡網紗緹花裸背仿旗袍睡衣兩件組,NT$389
花邊髮帶雙開衩包臀短裙動漫風四件組,NT$468
粉嫩軟萌小野豹毛茸茸Ｕ領大裸背露腰四件式連身衣套裝,NT$499
