Product Name,Price
日本 Rends 絨布SM 拘束手銬! 絕對安全的魔鬼氈設計【手銬 腳銬】,NT$836 原始價格：NT$836。NT$499目前價格：NT$499。
SM系列 低溫情趣蠟燭（紅/白兩色可選）,NT$288 原始價格：NT$288。NT$190目前價格：NT$190。
日本 激感-銀狐帶尾肛栓,"NT$1,088 原始價格：NT$1,088。NT$599目前價格：NT$599。"
日本 方便快速不沾黏!無痛SM靜電膠布 粉.黑.紅 三色可選,NT$588 原始價格：NT$588。NT$349目前價格：NT$349。
日本 激感-火狐帶尾肛栓,"NT$1,088 原始價格：NT$1,088。NT$599目前價格：NT$599。"
Zalo Nave 小兔乳夾  黑.紫.綠.粉 四色可選,"NT$3,288 原始價格：NT$3,288。NT$2,490目前價格：NT$2,490。"
Lina PU 收納包套裝【手銬 腳銬】,"NT$3,888 原始價格：NT$3,888。NT$2,980目前價格：NT$2,980。"
調教! 擴張! 一次GET! 水蜜果透明坐騎肛栓 S. M. L 三種可選,NT$299 – NT$699價格範圍：NT$299 到 NT$699
涅娃 床上拘束帶【手銬 腳銬】,"NT$990 – NT$1,780價格範圍：NT$990 到 NT$1,780"
Rora極光 十件式禮盒 PU【項圈 手銬 腳銬】,"NT$2,188 原始價格：NT$2,188。NT$1,499目前價格：NT$1,499。"
日本 激感- 惡魔之吻 紅 活動口枷/口咬球/口球,NT$988 原始價格：NT$988。NT$499目前價格：NT$499。
"SM 繩縛 拘束繩, BDSM繩縛專用句束繩, 捆綁繩 經典亞麻/慾望紅 兩色",NT$999 原始價格：NT$999。NT$649目前價格：NT$649。
SM 18K金 挑逗羽毛棒 黑/白兩色,NT$599 原始價格：NT$599。NT$349目前價格：NT$349。
日本 激感-重刑專用! 鏡面圓邊帶鎖金屬手銬【手銬 】,"NT$1,288 原始價格：NT$1,288。NT$880目前價格：NT$880。"
日本 獨家代理 拉拉穿戴褲  專用按摩棒/假陽 需另外選購,NT$999 原始價格：NT$999。NT$799目前價格：NT$799。
