Product Name,Price
AIR-TECH Premium 尊爵氣炫杯,"NT$1,080"
TIMING TRAINER [FINISH/重複性感度練習杯],"NT$3,800"
TENGA變形圖文 手機支架環,NT$200
PREMIUM TENGA 尊爵真空杯 手機支架環,NT$200
TENGA CUP 真空杯 手機支架環,NT$200
SD TENGA 巔峰真空杯 4款套組,NT$666 NT$740 9折
PREMIUM TENGA 尊爵真空杯 + PREMIUM SD TENGA 尊爵巔峰杯 4入套組,NT$756 NT$840 9折
PREMIUM SD TENGA 尊爵巔峰杯 10入組,"NT$1,755 NT$1,950 9折"
PREMIUM SD TENGA 尊爵巔峰杯 5入組,NT$877 NT$975 9折
PREMIUM SD TENGA 尊爵巔峰杯,NT$195
TENGA 3Dx 極上幾何杯 [ZEN/禪境],NT$900
TENGA 3Dx 極上幾何杯 [SPIRAL/螺旋],NT$900
TENGA 3Dx 極上幾何杯 [FLOW/流韻],NT$900
【官網限定】MOOVA 扭霸杯 [FIZZY GREEN/蘇打綠] + TENGA LOTION套組,"NT$1,045 NT$1,100 9.5折"
【官網限定】MOOVA 扭霸杯 [BUBBLY BLUE/氣泡藍] + TENGA LOTION套組,"NT$1,045 NT$1,100 9.5折"
【官網限定】MOOVA 扭霸杯 [Rocky Black/岩石黑] + TENGA LOTION套組,"NT$1,045 NT$1,100 9.5折"
【官網限定】MOOVA 扭霸杯 [Silky White/絲綢白] + TENGA LOTION套組,"NT$1,045 NT$1,100 9.5折"
TENGA GEO 探索球 [GLACIER/冰河球],NT$800
TENGA GEO 探索球 [CORAL/珊瑚球],NT$800
TENGA GEO 探索球 [AQUA/水紋球],NT$800
TENGA 金屬扣腰帶 橄欖綠,NT$500
TENGA 金屬扣腰帶 黑色,NT$500
TENGA 金屬扣腰帶 紅色,NT$500
iroha paiRING+ 配悅環 加強版 莓果紫,"NT$2,400"
iroha paiRING+ 配悅環 加強版 珊瑚粉,"NT$2,400"
iroha paiRING 配悅環 莓果紫,"NT$1,800"
iroha paiRING 配悅環 珊瑚粉,"NT$1,800"
TENGA FLIP WARMER 暖杯器 専用變壓器,NT$300
【官網限定】TENGA paiRING+ 配悅環 加強版 珊瑚橘+PLAY GEL [刺激黑] 套組,"NT$2,400 NT$2,620 9.2折"
【官網限定】TENGA paiRING+ 配悅環 加強版 珊瑚橘+PLAY GEL [自然紅] 套組,"NT$2,400 NT$2,620 9.2折"
【官網限定】TENGA paiRING+ 配悅環 加強版 珊瑚橘+PLAY GEL [濃厚白] 套組,"NT$2,400 NT$2,620 9.2折"
【官網限定】TENGA paiRING+ 配悅環 加強版 青檸綠+PLAY GEL [刺激黑] 套組,"NT$2,400 NT$2,620 9.2折"
【官網限定】TENGA paiRING+ 配悅環 加強版 青檸綠+PLAY GEL [自然紅] 套組,"NT$2,400 NT$2,620 9.2折"
【官網限定】TENGA paiRING+ 配悅環 加強版 青檸綠+PLAY GEL [濃厚白] 套組,"NT$2,400 NT$2,620 9.2折"
【官網限定】TENGA paiRING+ 配悅環 加強版 深藍色+PLAY GEL [刺激黑] 套組,"NT$2,400 NT$2,620 9.2折"
【官網限定】TENGA paiRING+ 配悅環 加強版 深藍色+PLAY GEL [自然紅] 套組,"NT$2,400 NT$2,620 9.2折"
【官網限定】TENGA paiRING+ 配悅環 加強版 深藍色+PLAY GEL [濃厚白] 套組,"NT$2,400 NT$2,620 9.2折"
【官網限定】TENGA paiRING+ 配悅環 加強版 黑色+PLAY GEL [刺激黑] 套組,"NT$2,400 NT$2,620 9.2折"
【官網限定】TENGA paiRING+ 配悅環 加強版 黑色+PLAY GEL [自然紅] 套組,"NT$2,400 NT$2,620 9.2折"
【官網限定】TENGA paiRING+ 配悅環 加強版 黑色+PLAY GEL [濃厚白] 套組,"NT$2,400 NT$2,620 9.2折"
【官網限定】TENGA paiRING 配悅環 珊瑚橘+PLAY GEL [刺激黑] 套組,"NT$1,800 NT$2,020 8.9折"
