Store,Items,Min Mean,Min Median,Min Std Dev,Max Mean,Max Median,Max Std Dev
ayce,17,934.59,790,607.21,975.24,790,565.52
drqq,293,8260.39,999,21345.66,8649.18,1520,21229.89
harryboy,994,751.27,599,830.48,751.27,599,830.48
iroha,135,1834.33,1800,1306.06,1984.58,1890,1389.46
lelo,111,13154.91,4280,63297.23,13154.91,4280,63297.23
playjoy,72,1167.29,1125,890.43,1493.83,1190,1956.78
puresexy,48,1110.77,780,1421.48,1371.08,850,1628.29
redino,249,1561.35,1280,1232.72,6729.51,2530,63098.31
rxing,2519,2348.75,499,10234.06,2422.42,580,10253.24
sallyq,410,1375.43,988,1710.41,1975.37,1493.50,2530.01
tenga,504,1589.90,913,1769.16,1707.93,985,1987.97
womanizer,78,3313,3061,2629.63,3556.85,3243,2746.06
